合适|尺码,尺码合
好|性价比,性价比
有|问题,质量差
轻便|鞋子,轻
买|老爸,爸
说|朋友,朋友
轻|鞋,轻
好|样子,漂亮
喜欢|款式,款式
没有|吊牌,没品牌
小|码数,尺码小
舒服|鞋,舒服
买|老婆,老婆
舒服|感觉,舒服
买|帮别人,朋友
还好|质量,质量
大|码数,尺码大
挤|有点,挤脚
好|品牌,品牌
便宜|鞋子,价格低
硬|鞋子,鞋底硬
大|号码,尺码大
好|透气,透气
小|鞋号,尺码小
好看|外观,漂亮
好|正品,正品
贵|价格,价格高
宽|脚,不挤脚
适合|脚,不挤脚
好|颜色,颜色
有|质量,质量
挤|脚,挤脚
好看|款式,款式
没|问题,质量
大|牌子,品牌
快|发货,物流
小|鞋子,尺码小
好|款式,款式
小|鞋码,尺码小
喜欢|老婆,老婆
漂亮|鞋子,漂亮
喜欢|颜色,颜色
大|鞋子,尺码大
薄|有点,薄
小|号码,尺码小
漂亮|外观,漂亮
好|价格,价格低
大|尺码,尺码大
大|鞋码,尺码大
便宜|商场,价格低
不错|颜色,颜色
便宜|专卖店,价格低
帮|同事,同事
好看|样式,款式
不错|正品,正品
好看|图片,正品
好看|鞋子,漂亮
窄|有点,尺码小
便宜|价钱,价格低
买|同事,同事
紧|有点,尺码小
购买|团,团购
不错|外观,漂亮
舒服|鞋子,舒服
好看|颜色,颜色
对得起|价格,性价比
合适|价格,价格低
轻|鞋子,轻
不错|样式,款式
送|人,朋友
小|尺码,尺码小
值得|信赖,质量
好看|样子,漂亮
帮|朋友,朋友
不错|价格,价格低
好|透气性,透气
不错|性价比,性价比
应该|正品,正品
买|朋友,朋友
不错|款式,款式
不错|样子,漂亮
买|特价,价格低
小|有点,尺码小
便宜|价格,价格低
大|有点,尺码大
送货|速度,物流
快|速度,物流
大|品牌,品牌
硬|鞋底,鞋底硬
高|性价比,性价比
是|正品,正品
好|质量,质量
不错|质量,质量
